date,classic_fpr,static_fpr,static_fnr,stream_fpr,stream_fnr
2026-08-15,0.000000,0.000000,0.000000,0.000000,0.000000
2026-08-16,0.000000,0.000000,0.000000,0.000000,0.000000
2026-08-17,0.000000,0.000000,0.000000,0.000000,0.000000
2026-08-18,0.000000,0.000000,0.000000,0.000000,0.000000
2026-08-19,0.000000,0.000000,0.000000,0.000000,0.000000
2026-08-20,0.000000,0.000000,0.000000,0.000000,0.000000
2026-08-21,0.000000,0.000000,0.000000,0.000000,0.000000
2026-08-22,0.000000,0.000000,0.000000,0.000000,0.000000
2026-08-23,0.000000,0.000000,0.000000,0.000000,0.000000
2026-08-24,0.000000,0.000000,0.000000,0.000000,0.000000
2026-08-25,0.000000,0.000000,0.000000,0.000000,0.000000
2026-08-26,0.000000,0.000000,0.000000,0.000000,0.000000
2026-08-27,0.000000,0.000000,0.000000,0.000000,0.000000
2026-08-28,0.000000,0.000000,0.000000,0.000000,0.000000
2026-08-29,0.000000,0.000000,0.000000,0.000000,0.000000
2026-08-30,0.000000,0.000000,0.000000,0.000000,0.000000
2026-08-31,0.000000,0.000000,0.000000,0.000000,0.000000
2026-09-01,0.000000,0.000000,0.000000,0.000000,0.000000
2026-09-02,0.000000,0.000000,0.000000,0.000000,0.000000
2026-09-03,0.000000,0.000000,0.000000,0.000000,0.000000
2026-09-04,0.000000,0.000000,0.000000,0.000000,0.000000
2026-09-05,0.000000,0.000000,0.000000,0.000000,0.000000
2026-09-06,0.000000,0.000000,0.000000,0.000000,0.000000
2026-09-07,0.000000,0.000000,0.000000,0.000000,0.000000
2026-09-08,0.000000,0.000000,0.000000,0.000000,0.000000
2026-09-09,0.000000,0.000000,0.000000,0.000000,0.000000
2026-09-10,0.000000,0.000000,0.000000,0.000000,0.000000
2026-09-11,0.000000,0.000000,0.000000,0.000000,0.000000
2026-09-12,0.000000,0.000000,0.000000,0.000000,0.000000
